period,metric,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2021,revenue,1666.029,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,reported,"Includes businesses subsequently discontinued or disposed; no 2021 continuing-operations restatement was published."
2021,gross_profit,1125.087,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,reported,"Includes businesses subsequently discontinued or disposed."
2021,gross_margin,67.531,pct,NA,group_as_then_reported,derived_from_audited,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"1125.087/1666.029*100","Calculated rather than copied from a rounded presentation."
2021,profit_attributable_to_owners,-44.514,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,reported,
2021,profit_attributable_to_owners_continuing,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,,"The report did not retrospectively split the beauty business discontinued in 2025."
2021,net_cash_from_operating_activities,-26.318,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 155 (report p.153)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,reported,
2021,capital_expenditure,37.725,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 23 (report p.21)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"34.657 PPE + 3.068 intangibles","Uses management's operating capital-expenditure table; the cash-flow statement's intangible purchase line also captured cryptocurrency-related amounts and is not used as operating capex."
2021,depreciation_and_amortisation,75.939,RMB_mn,RMB,group_as_then_reported,derived_from_audited,MT_AR2021,"PDF 241 (report p.239)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"11.866 PPE + 23.276 intangibles + 40.797 ROU",
2021,employee_share_based_compensation,55.502,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2021,"PDF 241 (report p.239)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,reported,"Treated as an economic owner cost, not an automatic add-back."
2021,cash_and_other_liquid_financial_resources,1258.191,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 21 (report p.19)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"738.732 cash + 481.459 current deposits + 30.000 long deposits + 8.000 short-term investments","2021 comparative in the 2022 annual report; excludes RMB0.500m restricted cash."
2021,owner_earnings_base,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,,"No like-for-like continuing-operations bridge is available; see owner-earnings-bridge.csv."
2022,revenue,2085.329,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,reported,"Includes businesses subsequently discontinued or disposed."
2022,revenue_yoy,25.168,pct,NA,group_as_then_reported,derived_from_audited,"MT_AR2021;MT_AR2022","MT_AR2021 PDF 149; MT_AR2022 PDF 158","https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf; https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf","(2085.329/1666.029-1)*100",
2022,gross_profit,1187.272,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,reported,
2022,gross_margin,56.935,pct,NA,group_as_then_reported,derived_from_audited,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"1187.272/2085.329*100",
2022,profit_attributable_to_owners,94.142,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,reported,
2022,profit_attributable_to_owners_continuing,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,,"The report did not retrospectively split the beauty business discontinued in 2025."
2022,net_cash_from_operating_activities,233.990,RMB_mn,RMB,group_as_then_reported,audited,MT_AR2022,"PDF 164 (report p.162)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,reported,
