event_date,public_release_time_hkt,event,t0_rule,t_minus_1_date,t_minus_1_close_hkd,t0_date,t0_close_hkd,t_plus_5_date,t_plus_5_close_hkd,t_minus_1_to_t_plus_5_pct,t0_to_t_plus_5_pct,hstech_same_window_pct,abnormal_vs_hstech_pct,attribution_confidence,overlap_note,event_source,price_source
2023-06-19,date_only_time_unknown,MiracleVision visual model announced,event calendar date because publication time is unavailable,2023-06-16,2.35,2023-06-19,2.85,2023-06-27,2.92,24.26,2.46,-6.17,30.43,low,"Time of publication is unknown; the window can show resonance but not causation",https://www.meitu.com/en/media/393,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2025-01-27,narrative_start_not_single_release,DeepSeek/open-source cost shock broadened the China AI-application narrative,event calendar date for the narrative shock,2025-01-24,3.13,2025-01-27,3.64,2025-02-06,4.54,45.05,24.73,8.63,36.42,low,"Broad industry narrative with multiple concurrent catalysts; not a Meitu-specific disclosure",https://www.cls.cn/detail/1931182,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2025-05-21,2025-05-20 22:59,Alibaba convertible-bond terms and strategic cooperation,first full session after the after-close HKEX release,2025-05-20,5.90,2025-05-21,7.02,2025-05-28,6.36,7.80,-9.40,-2.65,10.45,medium,"Company-specific disclosure; five-session follow-through retraced part of the first-day jump",https://www.hkexnews.hk/listedco/listconews/sehk/2025/0520/2025052001407.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2025-12-31,2025-12-31 18:37,Alibaba convertible-bond issuance completed,first full session after the after-close HKEX release and New Year holiday,2025-12-31,7.00,2026-01-02,7.43,2026-01-09,7.93,13.29,6.73,3.10,10.18,medium_low,"Completion was partly anticipated from the original terms; the window may contain year-start risk appetite",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1231/2025123101815.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-03-26,2026-03-26 10:03,Trading suspended after an unauthorised draft annual-results video appeared online,first resumed trading session because the stock was suspended on March 26 and 27,2026-03-25,4.73,2026-03-30,4.32,2026-04-09,4.39,-7.19,1.62,-2.06,-5.13,low,"Same tradable window as FY2025 results and the repurchase plan; effects cannot be separated",https://www.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032600217.htm,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-03-27,"2026-03-27 16:42 results; 16:56 repurchase",FY2025 results and up-to-HK$300m repurchase plan,first resumed trading session after the after-close releases,2026-03-25,4.73,2026-03-30,4.32,2026-04-09,4.39,-7.19,1.62,-2.06,-5.13,low,"Same tradable window as the governance suspension; effects cannot be separated",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0327/2026032700936.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-05-06,2026-05-06 07:45,Q1 2026 business update,same-day session because the HKEX release was before market open,2026-05-05,4.19,2026-05-06,4.66,2026-05-13,5.04,20.29,8.15,3.33,16.96,medium,"Company-specific operating update; still cannot exclude concurrent AI-application sentiment",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-06-01,market_session_not_single_release,HK AI-application and SaaS rotation on reported app-revenue and agent/AI-PC narratives,event-day session for a broad market rotation,2026-05-29,4.36,2026-06-01,5.50,2026-06-08,4.81,10.32,-12.55,-2.63,12.95,low,"Broad application/SaaS basket rally; reported broker data were not independently available and Meitu retraced after T0",https://finance.sina.com.cn/wm/2026-06-01/doc-inhzwyqm5155141.shtml,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-06-17,date_only_time_unknown,Meitu Imaging Festival and apps-to-agents roadmap,event calendar date because exact public release time is unavailable,2026-06-16,4.62,2026-06-17,4.69,2026-06-25,3.69,-20.13,-21.32,-5.42,-14.70,low,"Window overlaps the June 18 governance-remediation disclosure and company repurchases",https://www.meitu.com/en/media/438,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-06-18,2026-06-18 21:29,Investigation and remediation plus delayed treasury-investment disclosure,first full session after the after-close release and June 19 market holiday,2026-06-18,4.38,2026-06-22,4.10,2026-06-29,3.78,-13.70,-7.80,-4.59,-9.11,low,"Window overlaps the Imaging Festival selloff and company repurchases; attribution is not separable",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0618/2026061801536.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-07-03,2026-07-03 20:44,Founder disclosed purchase of 1.6m shares,first full session after the after-close HKEX release,2026-07-03,4.00,2026-07-06,4.11,2026-07-13,3.95,-1.25,-3.89,3.94,-5.19,medium_low,"The initial rise did not persist through T+5; insider alignment is not proof of valuation support",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0703/2026070302393.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-07-17,market_session_not_single_release,HK technology and AI-application broad risk-off selloff,event-day session for a broad market drawdown,2026-07-16,4.36,2026-07-17,3.96,2026-07-24,3.93,-9.86,-0.76,-4.24,-5.62,low,"Broad HK technology selloff with application/model names falling together; not a Meitu-specific disclosure",https://stock.jrj.com.cn/2026/07/17161357834603.shtml,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-07-24,1000,qfq"
2026-07-30,2026-07-30 17:48,H1 2026 preliminary business and financial performance update,first full session after the after-close HKEX release,2026-07-30,4.28,2026-07-31,4.72,2026-08-03,4.77,11.45,1.06,1.50,9.95,medium_low,"Only T+1 after the first reaction session is available; 29 July had already risen 13.1% before the disclosure, so the move cannot be attributed solely to the announcement",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf,"https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=hk01357,day,2023-01-01,2026-08-04,1000,qfq"
