period,metric,value,unit,comparison,comparison_value,status,interpretation,source
2026Q1,core_photo_video_design_revenue,852,RMB_mn,YoY_pct,34.3,reported_unaudited,"Implied 2025Q1 base is about RMB634m; company did not disclose Q1 profit or cash flow",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,paying_subscribers,17.90,mn,YoY_pct,30.2,reported_unaudited,"Stated as exceeded 17.90m; implied March 2025 base is about 13.75m",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,productivity_paying_subscribers,2.34,mn,YoY_pct,52.9,reported_unaudited,"Faster than leisure; implied March 2025 base is about 1.53m",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,leisure_paying_subscribers,15.56,mn,YoY_pct,27.4,reported_unaudited,"Still 86.9% of disclosed paying subscribers",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,productivity_revenue_share,18,pct,YoY_growth_pct,45.4,reported_unaudited,"Growth is like-for-like excluding about RMB13m of legacy stock-photo revenue from Q1 2025",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,leisure_revenue_share,82,pct,YoY_growth_pct,35.5,reported_unaudited,"Leisure remains the main revenue engine despite faster productivity growth",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,ai_productivity_arr,580,RMB_mn,YoY_pct,56.2,reported_unaudited,"ARR annualises active subscription and usage-based consumption; it is not recognised revenue",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026Q1,ai_credits_consumed,59,pct_change,vs_Dec_2025_pct,59,reported_unaudited,"March 2026 versus December 2025; not a quarterly or YoY revenue comparison",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600053.pdf
2026H1,total_mau,282,mn,point_in_time_June,,management_accounts_unaudited,"Productivity MAU reached 33m while leisure MAU was broadly stable; MAU alone is not a monetisation metric",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,paying_subscribers,18.44,mn,vs_June_2025_approx_pct,19.7,management_accounts_unaudited,"Stated as exceeded 18.44m; the derived YoY rate uses the rounded 15.40m June 2025 disclosure and is therefore approximate",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,productivity_paying_subscribers,2.35,mn,YoY_pct,29.8,management_accounts_unaudited,"Only about 0.01m above the rounded March 2026 point; do not infer exact sequential stagnation from rounded lower-bound disclosures",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,leisure_paying_subscribers,16.09,mn,YoY_pct,18.8,management_accounts_unaudited,"Leisure still represents about 87% of disclosed paying subscribers",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,ai_productivity_arr,620,RMB_mn,YoY_pct,47.8,management_accounts_unaudited,"About 6.9% above the rounded March ARR; ARR annualises active subscription and usage consumption and is not recognised revenue",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,ai_credits_consumed,46,pct_sequential_growth_each_quarter,minimum_pct,46,management_accounts_unaudited,"Company states over 46% sequential growth in both Q1 and Q2 with faster Q2 growth; no absolute credits or gross margin disclosed",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,core_photo_video_design_revenue,1768.9,RMB_mn,YoY_pct,30.9,derived_from_management_accounts,"Calculated as RMB1,351.353m H1 2025 times 1.309; company rounded the result to approximately RMB1.8bn",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026Q2,implied_core_photo_video_design_revenue,916.9,RMB_mn,implied_YoY_pct,27.9,derived_range_only,"H1 calculated amount less rounded Q1 amount; rounding can move the result, so this is evidence of continued growth rather than an exact quarter",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,adjusted_profit_attributable_owners_low,635.7,RMB_mn,YoY_pct,36,management_accounts_range,"Derived from RMB467.429m H1 2025 adjusted owners profit; company measure excludes SBC and investment fair-value items",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,adjusted_profit_attributable_owners_high,654.4,RMB_mn,YoY_pct,40,management_accounts_range,"Upper end of company preliminary range; not audited or reviewed",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,ifrs_profit_attributable_owners_minimum,536.0,RMB_mn,YoY_pct,35,management_accounts_floor,"At least RMB397.020m times 1.35; actual bridge including SBC and fair-value items remains pending",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0730/2026073001140.pdf
2026H1,formal_financial_results,,unknown,publication_date,2026-08-26,pending,"Formal H1 results must supply gross margin, operating expenses, SBC, CFO, cash/debt and point-in-time dilution before owner earnings can be upgraded",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0715/2026071500702.pdf
