risk,probability,impact,early_indicator,hard_evidence_needed
Customer concentration,high,high,Top-one share rose to 29.7% and top-five to 51.0% in 2025,H1/FY2026 customer concentration and revenue retention
Qualification-to-volume gap,medium,high,Thailand A1 phase 2 still includes validation boards and only some passed part numbers,Volume shipment and revenue by site/product
Capex and balance-sheet execution,high,high,FY2025 capex RMB6.389bn and Q1 investing cash outflow RMB4.178bn,Post-IPO cash debt capex and free-cash-flow bridge
Margin normalization,medium,high,2025 gross margin jumped to 35.2% from 22.7%,Product mix pricing utilization and input-cost bridge
Rumor-driven volatility,high,medium,H line fell to HKD165.6 then rebounded more than 50%,Official customer/product disclosures and price/volume confirmation
Cornerstone unlock,high,medium,About 37.22m cornerstone shares had a six-month lock-up,CCASS/large-holder changes after 2026-10-20
A/H basis risk,high,medium,A premium to H about 30.4% at 2026-08-10 close,FX Southbound holdings and relative turnover
Governance/private-event overhang,medium,medium,Chairman elevator-video controversy was publicly reported,Formal governance changes regulatory action or none
Event-window repricing,high,high,NVIDIA results on 2026-08-26 and Victory Giant interim report on 2026-08-28,Upstream demand commentary plus audited or reviewed interim operating evidence
Growth-rate normalization,high,high,Net-profit growth slowed from FY2025 273.5% to 2026Q1 40.0%,H1/H2 profit and gross-margin bridge showing whether the 2025 step-up is durable
