dimension,status,summary,indicator_1,indicator_1_status,indicator_2,indicator_2_status
security_and_legal_subject,applicable,06869.HK 与 601869.SH 是同一发行人的 H/A 两类股份；分别定价、不可假定自由互换。,exact_security_issuer_share_class_and_rights,observed,dated_price_share_count_currency_and_listing_status,observed
control_and_beneficial_ownership,unknown,主要股东可见，但质押、交叉持股、少数股东价值转移图未完成。,controller_voting_pledges_and_cross_holdings,observed,value_transfers_nci_and_related_party_exposure,not_disclosed
business_model,applicable,从预制棒到光纤、光缆和光互联组件一体化；现金取决于需求、ASP、产品组合、良率、回款与资本开支。,payer_value_proposition_revenue_and_cash_mechanism,observed,capital_needs_and_business_failure_variables,observed
revenue_structure,unknown,2025 光传输 58.6%、光互联 22.1%，海外收入约 42.3%；2026H1 细分桥待正式中报。,segment_product_and_geography_reconciliation,observed,volume_price_mix_acquisition_and_scope_bridge,not_disclosed
industry_chain_position,applicable,位于石英/套管/设备之后、运营商与数据中心连接之前；AI 是增量，不是全部收入。,upstream_process_customer_payer_and_substitute_map,observed,profit_pool_and_inventory_credit_technology_risk,observed
product_and_unit_economics,unknown,毛利率跃迁已观察，但光纤销量、ASP、有效产能、良率和单位贡献未完整披露。,price_volume_mix_and_incremental_economics,observed,industry_denominator_scope_and_comparability,not_disclosed
customers,unknown,运营商仍是基础客户，算力数据中心客户扩张由公司归因确认；客户集中、留存与终端库存未完整披露。,customer_channel_end_user_and_payer_separation,observed,concentration_retention_receivables_inventory_and_external_evidence,not_disclosed
suppliers,unknown,一体化降低部分上游依赖，但原料、能源、设备瓶颈、关联采购与成本传导表未完成。,critical_inputs_concentration_related_parties_and_substitution,not_disclosed,terms_prepayments_availability_and_cost_pass_through,not_disclosed
competition_structure,applicable,普通单模光纤历史上价格周期明显，AI 新型光纤改善需求；国内外扩产会重新分配利润池。,entry_exit_capacity_price_and_substitution,observed,competitor_customer_and_regulator_corroboration,observed
durable_moat,applicable,预制棒工艺、一体化制造、全球基地与空芯光纤是护城河候选；跨周期 ROIC 与份额保持仍未证明。,mechanism_economic_result_durability_and_direction,observed,strongest_falsifying_evidence,observed
revenue_quality,unknown,2025 和 2026Q1 经营现金流支持收入真实性，但海外工程、回款和期末确认仍需跟踪。,revenue_receivables_contract_assets_returns_and_cash,observed,acquisition_period_end_channel_and_recognition_distortion,not_disclosed
earnings_quality,applicable,2025 扣非利润仅 RMB5.16 亿；2026Q1 扣非利润 RMB4.61 亿，H1 扣非预告 RMB20—26 亿，质量明显改善但未审计。,reported_to_normalized_parent_earnings_bridge,observed,tax_attribution_scope_and_adjustment_disagreement,observed
cash_conversion,unknown,2025 CFO RMB36.53 亿，减全部长期资产购置现金后代理值 RMB22.31 亿；不等同 owner earnings。,profit_operating_cash_and_distributable_cash_bridge,observed,factoring_payment_restricted_cash_and_sector_scope,not_disclosed
working_capital,unknown,2026Q1 应收较年末微降、存货升 11.1%；是否对应备货还是消化放缓尚不能确认。,receivables_inventory_payables_prepayments_and_contract_balances,observed,sustainable_financing_vs_temporary_cash_release,not_disclosed
capital_intensity,unknown,2025 长期资产购置现金 RMB14.22 亿；维护与增长投入不可拆分，海外扩产会提高未来资本需求。,maintenance_vs_growth_investment_range,not_disclosed,capex_capacity_utilization_and_competitive_requirements,observed
returns_on_capital,unknown,2025 加权 ROE 6.92%，2026Q1 单季 3.53%；周期、杠杆、配股与新增产能的增量 ROIC 未拆。,multiperiod_roe_roic_and_incremental_returns,observed,leverage_buyback_cycle_and_accounting_decomposition,not_disclosed
balance_sheet_survival,unknown,2026Q1 现金 RMB55.25 亿、债务代理约 RMB87.05 亿；配股改善流动性，但仍不是净现金公司。,debt_liquidity_covenants_guarantees_pledges_and_off_balance,observed,adverse_scenario_financing_need,not_disclosed
capital_allocation,unknown,70m H 股配售、海外扩产、员工持股和上海子公司收购均已记录；每股回报尚待结果。,reinvestment_ma_dividend_buyback_issuance_debt_and_cash_ledger,observed,diluted_per_share_outcomes_and_opportunity_cost,not_disclosed
management,unknown,对 H1 增长原因的表述可在正式中报验证；长期承诺—结果、薪酬、接班与内部人行动账本未完成。,dated_commitments_vs_outcomes,observed,incentives_compensation_succession_insider_actions_and_candor,not_disclosed
governance_and_related_parties,unknown,A/H 股权与收购事项可见，但关联交易、定价、公平性和监督机制的注释级复核未完成。,related_sales_purchases_loans_guarantees_and_asset_transfers,observed,pricing_minority_fairness_oversight_and_dissent,not_disclosed
accounting_and_audit,applicable,2021—2025 来自审计年报；2026Q1 与 H1 预告明确标为未审计，未混同。,audit_kam_standard_policy_and_restatement,observed,statement_reproduction_and_conflict_preservation,observed
tax_and_legal,unknown,有效税率波动和海外法域扩大已识别，完整递延税、诉讼、制裁、合规尾部风险表未完成。,effective_deferred_and_uncertain_tax,observed,litigation_penalties_compliance_and_tail_exposure,not_disclosed
per_share_economics,applicable,总股本 827.905m，H 股 421.567m，A 股 406.338m，其中库存 A 股 6m；配股摊薄已入分母。,basic_diluted_and_fully_diluted_share_reconciliation,observed,per_share_growth_distribution_issuance_and_repurchase_outcomes,observed
valuation,applicable,按 H 股 8 月 10 日收盘与官方汇率，FY2025 P/E 约 109.7×、Q1 TTM 约 77.1×；H1 年化敏感性约 14.9—18.6×。,currency_consistent_value_range_assumptions_and_dates,observed,reverse_expectations_sensitivities_and_cross_check,observed
disconfirming_evidence,applicable,最强反方是利润率处于周期峰值、供给扩张和 AI 收入纯度被高估；验证点已绑定正式中报和扩产兑现。,independent_strongest_counter_thesis,observed,observable_invalidation_next_evidence_and_review_date,observed
