id,claim_id,source_id,document_sha256,page,section_or_table,page_line_start,page_line_end,text_snapshot_sha256,page_text_sha256,period,unit,currency,scope,audit_status,source_text,formula,limitations
FUBO-CRIT-001,fy2025.revenue,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,59,Consolidated statement of profit or loss,2018,2048,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,consolidated_group,audited,"Revenue 2,872,361",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-002,fy2025.parent_profit,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,59,Consolidated statement of profit or loss,2018,2048,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,parent_attributable,audited,"Profit attributable to owners 199,312",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-003,fy2025.cfo,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,65,Consolidated statement of cash flows,2205,2240,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,consolidated_group,audited,"Net cash from operating activities 69,916",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-004,fy2025.intangible_additions,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,113,Other intangible assets note,3985,4000,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,consolidated_group,audited,"Intangible asset additions 427,731",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-005,fy2025.receivables,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,114,Trade receivables note,4041,4050,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,consolidated_group,audited,"Trade receivables net 1,753,741","1,800,071 - 46,330",Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-006,fy2025.revenue_mix,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,97,Revenue note,3420,3435,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,revenue_disaggregation,audited,"Subscription 1,223,536; value-added 1,648,825","sum = 2,872,361",Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-007,fy2025.goodwill,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,111,Goodwill impairment note,3918,3945,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2025,HKD thousand,HKD,consolidated_group,audited,"Goodwill 1,315,908",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-008,fy2025.five_year_history,F01,0f4c34299259887c418fc1599a6df4c2174615296b0013493cd919fd6267c7fa,147,Five-year financial summary,5133,5150,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,ff63b964c0326ec9bed057870d35f8f71ff2e15facc808f5cb27ef55ca9fbc7d,FY2021-FY2025,HKD thousand,HKD,consolidated_group,audited,Five-year revenue and profit summary,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-009,h1_2025.financials,F02,7493774c0dce9632f8fe8fa9f25fcdc8216a34ea4e1c836ccd3db643af2f1f76,12,Interim statement of profit or loss,994,1010,cb9c1ad6d0653fc736ffcda0549ff41f9e67d0809609147f61fe872035659672,cb9c1ad6d0653fc736ffcda0549ff41f9e67d0809609147f61fe872035659672,2025H1,HKD thousand,HKD,consolidated_group,unaudited,"H1 revenue 1,456,315; parent profit 102,344",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-010,q1_2026.growth,F03,48366f874f224a4a0e59e49903250e35cf723118e730059fac2dda9ad10d9a8c,1,Unaudited operating data,13,17,7c0c892cce955aaa0ac633326eeb645e54ddb785536736557871112577a72191,7c0c892cce955aaa0ac633326eeb645e54ddb785536736557871112577a72191,2026Q1,percent,HKD,company_operating_update,unaudited,Revenue approximately +21%; MRR approximately +29%,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-011,cb.terms,F04,30458b857b382f0706dc128f87153c776d7435423300a43cfb8006d06fab41df,1,Principal terms of convertible bonds,30,60,f20dd47ac8e3be3481cce59ee3fc52e24a35c7b9807c17cee2d5cdb7f07ebf07,f20dd47ac8e3be3481cce59ee3fc52e24a35c7b9807c17cee2d5cdb7f07ebf07,2025-09-23,HKD,HKD,listed_security,not_applicable,HK$1.6bn; conversion HK$5.87; maturity 27 September 2026,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-012,shares.june_2026,F05,6af5a0718526315c90d23ddf8c7ebebc846364d6054ede48c3d3d0d60991352d,2,Monthly return,20,30,b61d95dfedc813022d17347f8ac70c3c8f1a4e242783b3bdbf0eb6e18422f776,b61d95dfedc813022d17347f8ac70c3c8f1a4e242783b3bdbf0eb6e18422f776,2026-06-30,shares,not_applicable,listed_security,not_applicable,"Issued shares excluding treasury 2,592,865,836",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-013,cb.remaining_june_2026,F05,6af5a0718526315c90d23ddf8c7ebebc846364d6054ede48c3d3d0d60991352d,5,Monthly return convertible table,67,73,b61d95dfedc813022d17347f8ac70c3c8f1a4e242783b3bdbf0eb6e18422f776,b61d95dfedc813022d17347f8ac70c3c8f1a4e242783b3bdbf0eb6e18422f776,2026-06-30,HKD,HKD,listed_security,not_applicable,Remaining principal HK$1.458bn; conversion price HK$5.87,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-014,kpi.active_assets,F06,cfc82492af0c0af963342d706df15a7bdde175ec5fefa861b215c482f51d5fb8,15,Active monetizing assets chart,350,376,1d4d67d559d7d17600912f59347ac93a29a8e1a734a97f829e5bc5c3c0f82315,1d4d67d559d7d17600912f59347ac93a29a8e1a734a97f829e5bc5c3c0f82315,2025Q4,million assets,not_applicable,company_defined_kpi,unaudited,Active assets 4.86m at 2025Q4,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-015,kpi.retention,F06,cfc82492af0c0af963342d706df15a7bdde175ec5fefa861b215c482f51d5fb8,21,Subscription KPI slide,499,511,1d4d67d559d7d17600912f59347ac93a29a8e1a734a97f829e5bc5c3c0f82315,1d4d67d559d7d17600912f59347ac93a29a8e1a734a97f829e5bc5c3c0f82315,FY2025,percent,not_applicable,company_defined_kpi,unaudited,NRR 128%; customer retention 98.2%,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-016,q1_2026.active_assets,F07,bcfc9dfaf406905180d0d21a34a5b75c41e67124902b6a53608f14b00b3856be,1,Management prepared remarks,28,32,cf578a05ed81155d1909e1c647c6a09512723f0b12d65a253f70ceb704faf856,cf578a05ed81155d1909e1c647c6a09512723f0b12d65a253f70ceb704faf856,2026Q1,million assets / percent,not_applicable,management_claim,unaudited,Active assets 5.24m; AI assets 16.6%,directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-017,short.2026_07_17,S01,06a022febb026e6b3897705239419a11530c3156789513f8dfa5f6901c68b890,21,SFC aggregated reportable short positions,931,931,c2a9eafb331a276274daed305ad07f51774a415b452220bc835cca6c90bdc912,c2a9eafb331a276274daed305ad07f51774a415b452220bc835cca6c90bdc912,2026-07-17,shares,HKD,reportable_short_positions,not_applicable,"3738 VOBILE GROUP 122,802,839 shares",directly_reported,Approximate global extracted-text lines; verify the PDF page and checksum.
FUBO-CRIT-018,price.2026_07_27,M01,e7873401f2aa541b476b0c318300c295779eb470a23ff6862a2092b788c3d60f,,Yahoo chart API JSON,1,1,e7873401f2aa541b476b0c318300c295779eb470a23ff6862a2092b788c3d60f,e7873401f2aa541b476b0c318300c295779eb470a23ff6862a2092b788c3d60f,2026-07-27,HKD / shares,HKD,listed_security,not_applicable,"Close HK$2.39; volume 13,972,000",daily chart API snapshot,JSON API snapshot has no stable PDF page or human page lines; page is null and line 1 only identifies the frozen single-line JSON.
