period,line_order,metric,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2021,1,core_operating_profit,-97.508,RMB_mn,RMB,group_as_then_reported,derived_from_audited,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"1125.087 gross profit - 390.980 selling - 264.993 admin - 545.490 R&D - 21.132 financial-asset impairment","Excludes other income/gains, finance, associates and acquisition/crypto impairment; not company-reported operating profit."
2021,2,normalised_cash_tax_rate,0.000,pct,NA,screening_proxy,research_policy,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,0,"No tax shield is credited when core operating profit is negative."
2021,3,nopat,-97.508,RMB_mn,RMB,screening_proxy,derived,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"-97.508*(1-0%)",
2021,4,opening_operating_capital,928.741,RMB_mn,RMB,group,derived_from_audited,MT_AR2021,"PDF 151-152 (report pp.149-150; 2020 comparatives)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"PPE + ROU + intangibles + inventory + trade receivables + prepayments/other receivables + contract costs - trade/other payables - contract liabilities","Includes all prepayments and other receivables because an operating/non-operating split is incomplete; excludes cash, investments and tax balances."
2021,5,closing_operating_capital,1543.509,RMB_mn,RMB,group,derived_from_audited,MT_AR2021,"PDF 151-152 (report pp.149-150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"383.183+41.390+777.402+4.889+356.783+912.280+29.880-803.915-158.383","Includes all prepayments and other receivables; does not capitalise R&D."
2021,6,average_operating_capital,1236.125,RMB_mn,RMB,group,derived,MT_AR2021,"PDF 151-152 (report pp.149-150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"(928.741+1543.509)/2",
2021,7,roic_proxy,-7.89,pct,NA,group_as_then_reported,derived_screening_proxy,MT_AR2021,"PDF 149 and PDF 151-152 (report pp.147 and 149-150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"-97.508/1236.125*100","Not company-reported ROIC; expensed R&D is not capitalised, business scope later changed, and prepayments may include non-operating balances."
2022,1,core_operating_profit,-96.368,RMB_mn,RMB,group_as_then_reported,derived_from_audited,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"1187.272-403.115-271.850-586.365-22.310","Excludes other income/gains, finance, associates and intangible/crypto impairment; not company-reported operating profit."
2022,2,normalised_cash_tax_rate,0.000,pct,NA,screening_proxy,research_policy,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,0,"No tax shield is credited when core operating profit is negative."
2022,3,nopat,-96.368,RMB_mn,RMB,screening_proxy,derived,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"-96.368*(1-0%)",
2022,4,opening_operating_capital,1543.509,RMB_mn,RMB,group,derived_from_audited,MT_AR2022,"PDF 160-161 (report pp.158-159; 2021 comparatives)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,"PPE + ROU + intangibles + inventory + trade receivables + prepayments/other receivables + contract costs - trade/other payables - contract liabilities","Includes all prepayments and other receivables; excludes cash, investments and tax balances."
