date,open,close,high,low,volume
2026-06-22,235.6,286.0,290.6,235.0,48305855
2026-06-23,290.2,264.6,305.0,260.2,32256541
2026-06-26,286.8,250.6,286.8,242.0,28472896
2026-07-02,228.4,198.3,229.2,198.0,40078361
2026-07-14,142.0,153.9,154.1,134.6,36305166
2026-07-15,176.9,156.4,188.0,153.0,65793972
2026-07-21,144.8,142.0,148.2,125.3,61279031
2026-07-30,100.9,92.0,103.9,91.15,38972784
2026-08-03,96.0,95.7,98.25,93.05,18295744
2026-08-04,98.5,105.6,107.0,98.5,33415662
2026-08-05,100.2,121.0,126.7,99.1,64441246
2026-08-06,118.0,117.3,124.0,114.5,37495052
2026-08-07,118.2,124.1,125.9,116.8,35291030
2026-08-10,128.8,124.6,132.7,119.6,28445826
2026-08-11_intraday,122.0,122.3,123.5,118.0,6691996
