period,scenario,line_order,line_item,value,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2021,not_calculated,1,owner_earnings_range,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2021,"PDF 149 (report p.147)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,,"The 2021 report presents the then-current group and does not provide a retrospective continuing-operations attribution for the beauty business discontinued in 2025; no like-for-like continuing owner-earnings range is fabricated."
2022,not_calculated,1,owner_earnings_range,,RMB_mn,RMB,continuing_operations,source_gap,MT_AR2022,"PDF 158 (report p.156)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,,"The 2022 report presents the then-current group and does not provide a retrospective continuing-operations attribution for the beauty business discontinued in 2025; no like-for-like continuing owner-earnings range is fabricated."
2023,not_calculated,1,owner_earnings_range,,RMB_mn,RMB,continuing_operations,source_gap,F10,"PDF 164 (report p.162)",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042502767.pdf,,"The 2023 report presents the then-current group and does not provide a retrospective continuing-operations attribution for the beauty business discontinued in 2025; no like-for-like continuing owner-earnings range is fabricated."
2024,low,1,profit_attributable_to_owners_from_continuing_operations,798.875,RMB_mn,RMB,continuing_operations,audited_restated,F01,"PDF 200 (report p.198)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702560.pdf,starting_point,"The 2024 comparative was restated in the 2025 annual report after the beauty supply-chain business became discontinued."
2024,low,2,fvtpl_and_subsidiary_preference_share_fair_value_losses,343.424,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,+343.424,"Owners-column amount; the reconciliation was published for the total group, not separately for continuing operations."
2024,low,3,cryptocurrency_reversal_and_disposal_gains,-639.556,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-639.556,"Removes the non-recurring crypto gain; owners-column amount in the total-group reconciliation."
2024,low,4,losses_on_disposal_of_fvtpl_assets,13.012,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,+13.012,"Owners-column amount in the total-group reconciliation."
2024,low,5,impairment_of_associates_and_joint_ventures,35.170,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,+35.170,"Owners-column amount in the total-group reconciliation."
2024,low,6,tax_effects_of_normalising_adjustments,-56.320,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-56.320,"Uses the owners-column tax effect supplied by the company; it is not a separately disclosed continuing-operations tax allocation."
2024,low,7,other_one_off_gains,-7.250,RMB_mn,RMB,group_adjustment_applied_to_continuing_start,derived_from_audited_reconciliation,F09,"PDF 20 (report p.18)",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042502209.pdf,-7.250,"Removes company-identified other one-off gains."
