record_id,record_type,start_date,end_date,start_close_hkd,end_close_hkd,peak_high_hkd,close_return_pct,hsi_return_pct,excess_vs_hsi_pct,post_20_session_return_pct,post_20_session_max_drawdown_pct,primary_driver,driver_class,causal_confidence,evidence_status,source_refs,interpretation
R01,main_wave,2016-12-23,2017-03-17,7.68,18.00,18.00,134.4,12.7,121.7,-37.2,-40.0,"纳入港股通后南下资金持续净买入，低流通盘与投机情绪共振；2017-03-20 盘中冲至 HK$23.05 后反转","liquidity_flow",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2017_CONNECT","历史 20 港元不是经营利润验证：3 月 20 日盘中高点 HK$23.05、收盘 HK$15.98，高潮日自身已完成剧烈反转"
R02,main_wave,2017-06-27,2017-08-25,8.38,13.50,14.00,61.1,7.8,53.3,-17.9,-19.3,"解禁抛售后的超跌修复，战略持有人增持，随后 H1 收入同比 +272.3%、调整亏损大幅收窄","company_results_plus_positioning",medium,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2017_H1;HIST_2017_HOLDER","基本面改善与持仓信号同时存在，但公司仍亏损，不能把全段涨幅单归因于财报"
R03,main_wave,2018-08-27,2018-09-26,4.02,6.28,6.45,56.2,-1.6,57.8,-33.1,-38.2,"美图秀秀转向‘美和社交’，新版社交平台上线与内测活跃度叙事","product_narrative",medium,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2018_SOCIAL","同期 H1 收入和 MAU 承压，属于产品转型预期，不是盈利兑现"
R04,main_wave,2018-12-27,2019-03-12,1.96,4.26,4.56,117.3,13.5,103.8,-10.3,-20.4,"轻资产战略转向后，拟收购并签约取得 Dreamscape Horizon 31% 权益，获得 Digital Extremes 游戏资产敞口","capital_ma_optionality",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2019_MA","游戏并购扩大想象空间，但以大量新股支付并带来显著摊薄，主要是资本与战略期权重估"
R05,main_wave,2019-12-02,2020-02-24,1.37,2.22,2.27,62.0,1.4,60.6,-36.5,-38.3,"比特币逼近万美元时港股区块链概念轮动，美图因创始人背景被当作加密代理；其时公司尚未购币","crypto_proxy_rotation",medium,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2020_CRYPTO_PROXY","市场标签先于公司行为，不能误写成加密资产收益推动"
R06,main_wave,2020-12-16,2021-02-17,1.37,4.11,4.30,200.0,17.5,182.5,-31.9,-39.2,"比特币突破 US$51,000、区块链概念股集体上涨；公司首次公开购币在 3 月，晚于本轮 2 月高点","crypto_proxy_rotation",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2021_CRYPTO_PROXY;HIST_2021_CRYPTO_PURCHASE","主升浪是加密概念与流动性，3 月实际购币只触发后续次级反弹，时间顺序不能倒置"
R07,main_wave,2022-10-24,2023-03-02,0.67,3.08,3.33,359.7,34.6,325.1,-6.2,-24.0,"AI 绘画在日本、美国等市场病毒式传播，随后叠加 ChatGPT/AIGC 板块重估和全年扭亏预期","product_virality_plus_ai_theme",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2022_AIGC;MT_AR2022","上市以来收盘口径涨幅最大的主升；前半段是爆款与主题，后半段才逐步出现订阅和利润证明"
R08,main_wave,2023-05-25,2023-07-03,1.77,3.40,3.55,92.1,3.0,89.1,-16.8,-21.8,"影像节发布 MiracleVision 视觉大模型及七款 AIGC 产品，6 月 19 日单日上涨 21.3%","company_product_launch",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;M05;HIST_2023_MV_REACTION","产品发布能点火，但当时缺少新增收入、留存和单位利润证据，峰值后回撤较快"
R09,main_wave,2023-08-21,2023-11-07,2.29,3.98,4.19,73.8,0.3,73.5,-10.3,-22.1,"2023H1 收入同比 +29.8%、调整后归母利润 +320.4%，管理层称 AIGC 提高新增会员付费转化","earnings_proof",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;F13;HIST_2023_H1_REACTION","这是 AI 转型后第一轮较硬的商业化验证，质量高于单纯产品发布"
R10,main_wave,2024-02-02,2024-03-21,2.29,3.67,3.81,60.3,8.6,51.7,-14.2,-22.3,"2023 年收入 +29.3%、调整后归母利润 +233.2%、付费用户 +62.3%，订阅成为增长主轴","annual_results_proof",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;M08;HIST_2024_RESULTS","全年业绩将 AIGC 叙事推进到付费与利润，但 20 个交易日后仍发生两位数回吐"
R11,main_wave,2024-09-13,2024-10-07,2.12,3.49,3.50,64.6,33.0,31.6,-20.3,-31.2,"9 月 24 日中国降准降息、资本市场支持工具等政策组合推动港股与科技股全面重估","macro_liquidity_beta",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2024_STIMULUS","恒指同期上涨 33.0%，说明大半行情来自中国资产 Beta；美图高 Beta 放大了剩余超额"
R12,main_wave,2025-01-10,2025-02-19,2.74,6.50,6.62,137.2,20.4,116.9,-4.0,-29.2,"DeepSeek-R1 引发低成本模型和中国 AI 应用重估，2 月 7 日盈喜再确认 2024 调整后利润增长 52%—60%","industry_cost_shock_plus_profit_alert",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;T10;HIST_2025_PROFIT_ALERT;HIST_2025_DEEPSEEK_REACTION","先是行业成本曲线重估，后有公司利润确认；比单一概念行情更扎实，但最大回撤仍接近 30%"
R13,main_wave,2025-04-22,2025-07-31,4.60,12.08,12.56,162.6,14.9,147.7,-4.0,-21.4,"阿里 US$2.5 亿可转债与电商/AI/云合作、RoboNeo 上线、H1 盈喜及盈利预测上修连续叠加","strategic_distribution_plus_earnings",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;F14;HIST_2025_ROBONEO;HIST_2025_H1_ALERT","AI 时代最完整的‘渠道 + 产品 + 盈利’组合；2025 年最高只是 HK$12.56，不是 20 港元"
S01,secondary_wave,2019-07-22,2019-07-25,2.02,2.63,2.77,30.2,0.8,29.4,-24.3,-27.4,"美图秀秀‘魔法照片’在印度等海外市场走红，印度 DAU 据报道增长 435%","product_virality",high,corroborated,"HIST_PRICE_FULL;HIST_HSI_FULL;HIST_2019_MAGIC","典型爆款功能脉冲：上涨快、20 个交易日后回吐约四分之一"
