period,dimension,category,share_pct,status,source
FY2023,application,consumer_electronics,25.0,actual,AR2023
FY2024,application,consumer_electronics,37.8,actual,AR2024
FY2025,application,smartphone,23.1,actual,AR2025
FY2025,application,computer_and_tablet,14.8,actual,AR2025
FY2025,application,consumer_electronics,43.2,actual,AR2025
FY2025,application,connectivity_and_IoT,7.9,actual,AR2025
FY2025,application,industrial_and_automotive,11.0,actual,AR2025
FY2025,geography,China,85.6,actual,AR2025
FY2025,geography,America,11.6,actual,AR2025
FY2025,geography,Eurasia,2.8,actual,AR2025
FY2025,wafer_size,12_inch,77.1,actual,AR2025
FY2025,wafer_size,8_inch,22.9,actual,AR2025
2026Q1,application,smartphone,18.9,actual,Q1_2026
2026Q1,application,computer_and_tablet,13.6,actual,Q1_2026
2026Q1,application,consumer_electronics,46.2,actual,Q1_2026
2026Q1,application,connectivity_and_IoT,7.3,actual,Q1_2026
2026Q1,application,industrial_and_automotive,14.0,actual,Q1_2026
2026Q1,geography,China,88.9,actual,Q1_2026
2026Q1,geography,America,8.5,actual,Q1_2026
2026Q1,geography,Eurasia,2.6,actual,Q1_2026
2026Q1,wafer_size,12_inch,76.4,actual,Q1_2026
2026Q1,wafer_size,8_inch,23.6,actual,Q1_2026
FY2025,process_node,node_level_revenue_and_margin,,not_disclosed,AR2025
