metric,FY2024,FY2025,2026Q1,interpretation
Revenue RMB bn,10.731,19.292,5.519,"Q1 revenue growth remained 28.0% but slowed from FY2025's exceptional 79.8%"
Parent net profit RMB bn,1.154,4.312,1.288,"Q1 growth remained 40.0%; profit quality is stronger than a pure narrative but growth normalized"
Operating cash flow RMB bn,1.358,4.603,2.117,"FY2025 OCF exceeded net profit; Q1 collections and export tax refunds supported cash conversion"
Fixed-asset cash outflow RMB bn,0.834,6.617,,"FY2025 growth investment exceeded OCF by RMB2.014bn; not a maintenance-capex owner-earnings measure"
Gross margin,22.7%,35.2%,34.5%,"Q1 held near the elevated FY2025 level but did not expand further"
Accounts receivable RMB bn,3.887,5.871,5.555,"Q1 balance fell from year-end despite revenue growth; constructive but only one quarter"
Inventory RMB bn,2.045,3.162,3.905,"Q1 inventory rose 23.5% from year-end and requires shipment/turn monitoring"
Construction in progress RMB bn,0.257,3.610,5.170,"Q1 rose 43.2% from year-end as expansion accelerated"
Short-term borrowings RMB bn,1.254,1.500,3.047,"Q1 more than doubled before the H-share IPO cash arrived"
Long-term borrowings RMB bn,2.310,3.867,4.823,"Expansion was partly debt-funded before the April listing"
