date,listing,open,close_or_last,high,low,volume_shares,status,source
2026-07-28,02476.HK,213.80,193.60,216.40,192.50,4409087,close,Tencent market data API
2026-07-28,300476.SZ,226.72,210.18,230.40,209.00,35163900,close,Tencent market data API
2026-07-29,02476.HK,190.80,178.30,196.80,168.20,10688646,close,Tencent market data API
2026-07-29,300476.SZ,212.94,201.61,214.00,191.00,43433400,close,Tencent market data API
2026-07-30,02476.HK,174.00,168.30,177.80,165.60,7826218,close,Tencent market data API
2026-07-30,300476.SZ,198.81,180.36,200.48,177.88,48505100,close,Tencent market data API
2026-07-31,02476.HK,193.10,184.40,193.80,181.30,6997577,close,Tencent market data API
2026-07-31,300476.SZ,202.56,190.40,204.75,190.30,41608200,close,Tencent market data API
2026-08-03,02476.HK,184.40,184.00,191.50,179.10,3137630,close,Tencent market data API
2026-08-03,300476.SZ,191.06,189.30,193.69,187.19,25733700,close,Tencent market data API
2026-08-04,02476.HK,185.40,190.40,193.20,185.40,4860254,close,Tencent market data API
2026-08-04,300476.SZ,192.50,201.80,203.99,191.20,41457700,close,Tencent market data API
2026-08-05,02476.HK,182.00,221.20,229.00,178.90,15372517,close,Tencent market data API
2026-08-05,300476.SZ,191.10,236.35,242.00,191.03,74046100,close,Tencent market data API
2026-08-06,02476.HK,217.80,231.00,251.20,216.20,11002153,close,Tencent market data API
2026-08-06,300476.SZ,228.01,250.15,260.53,227.00,72413900,close,Tencent market data API
2026-08-07,02476.HK,236.00,256.20,262.80,234.00,11197507,close,Tencent market data API
2026-08-07,300476.SZ,256.00,280.20,286.15,255.90,72549900,close,Tencent market data API
2026-08-10,02476.HK,264.80,255.20,264.80,242.60,7252991,close,Tencent market data API
2026-08-10,300476.SZ,280.30,286.00,286.00,274.79,60544700,close,Tencent market data API
