period,scenario,line_order,line_item,value,sign,unit,currency,scope,audit_status,source_id,page,source_url,formula,limitations
2021-12-31,reported_debt_like,1,cash_and_cash_equivalents,738.732,1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 151 (report p.149)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,+738.732,
2021-12-31,reported_debt_like,2,current_term_deposits,481.459,1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 151 (report p.149)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,+481.459,
2021-12-31,reported_debt_like,3,noncurrent_term_deposits,30.000,1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 151 (report p.149)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,+30.000,
2021-12-31,reported_debt_like,4,short_term_investments,8.000,1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 151 (report p.149)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,+8.000,"Bank-placed short-term investments; no public security-level liquidity haircut is applied."
2021-12-31,reported_debt_like,5,restricted_cash_excluded,0.500,0,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 151 (report p.149)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,0,"Displayed but not included in cash-like resources."
2021-12-31,reported_debt_like,6,borrowings,10.000,-1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 152 (report p.150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,-10.000,
2021-12-31,reported_debt_like,7,lease_liabilities,38.542,-1,RMB_mn,RMB,group,audited,MT_AR2021,"PDF 152 (report p.150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"-(17.911+20.631)","Included as debt-like even though the company net-debt table may present it separately."
2021-12-31,reported_debt_like,8,net_cash_after_debt_like,1209.649,0,RMB_mn,RMB,group,derived,MT_AR2021,"PDF 151-152 (report pp.149-150)",https://corp-static.meitu.com/corp-new/20220428/Annual%20Report%20%28E%29.pdf,"738.732+481.459+30.000+8.000-10.000-38.542","Excludes restricted cash and does not apply liquidity or tax haircuts."
2022-12-31,reported_debt_like,1,cash_and_cash_equivalents,946.602,1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 160 (report p.158)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,+946.602,
2022-12-31,reported_debt_like,2,current_term_deposits,352.908,1,RMB_mn,RMB,group,audited,MT_AR2022,"PDF 160 (report p.158)",https://corp-static.meitu.com/corp-new/20230426/Annual%20Report%20%28E%29.pdf,+352.908,
