dimension,status,indicator_1,indicator_2,summary
security_and_legal_subject,applicable,exact_security_issuer_share_class_and_rights,dated_price_share_count_currency_and_listing_status,09868.HK为港股普通股；XPEV为同一发行人ADS，每ADS代表两股A类普通股。
control_and_beneficial_ownership,applicable,controller_voting_pledges_and_cross_holdings,value_transfers_nci_and_related_party_exposure,何小鹏约18.8%经济权益、69.3%投票权；B类每股十票，控制权与经济权分离。
business_model,applicable,payer_value_proposition_revenue_and_cash_mechanism,capital_needs_and_business_failure_variables,89.1%收入来自整车；服务含技术研发/软件、配件、积分、充电、售后与金融相关服务。
revenue_structure,applicable,segment_product_and_geography_reconciliation,volume_price_mix_acquisition_and_scope_bridge,2025汽车收入683.79亿元、服务83.41亿元；大众技术合作提高服务质量但带来客户依赖。
industry_chain_position,applicable,upstream_process_customer_payer_and_substitute_map,profit_pool_and_inventory_credit_technology_risk,上游电池/芯片/内存，中游研发制造，下游直营/授权门店和充电网络；盈利池受价格战与供应链成本夹击。
product_and_unit_economics,applicable,price_volume_mix_and_incremental_economics,industry_denominator_scope_and_comparability,交付增长已验证，vehicle margin仍约12%–14%；车型组合和电池/内存成本决定增量经济。
customers,applicable,customer_channel_end_user_and_payer_separation,concentration_retention_receivables_inventory_and_external_evidence,整车面向消费者；技术合作收入主要依赖大众，飞行汽车关联方不是自动并表核心业务。
suppliers,applicable,critical_inputs_concentration_related_parties_and_substitution,terms_prepayments_availability_and_cost_pass_through,电池合格供应商数量有限；内存与电池涨价已压低2026Q1环比毛利，供应集中度未完整披露。
competition_structure,applicable,entry_exit_capacity_price_and_substitution,competitor_customer_and_regulator_corroboration,理想、蔚来、零跑等直接竞争；比亚迪/Tesla因规模和整合差异作为邻近参照而非直接中位数。
durable_moat,applicable,mechanism_economic_result_durability_and_direction,strongest_falsifying_evidence,候选护城河是整车集成、安全验证、数据、制造、渠道、充电和VW验证，不是单一基础模型规模。
revenue_quality,applicable,revenue_receivables_contract_assets_returns_and_cash,acquisition_period_end_channel_and_recognition_distortion,2025服务收入含阶段性技术研发/平台软件里程碑；递延收入余额须结合履约期阅读。
earnings_quality,applicable,reported_to_normalized_parent_earnings_bridge,tax_attribution_scope_and_adjustment_disagreement,Q4首次季度盈利未在2026Q1延续；TTM净亏约22.60亿元，PE无经济意义。
cash_conversion,applicable,profit_operating_cash_and_distributable_cash_bridge,factoring_payment_restricted_cash_and_sector_scope,2025 CFO转正但应付/应计释放贡献巨大；报表FCF不能直接视为可分配owner earnings。
working_capital,applicable,receivables_inventory_payables_prepayments_and_contract_balances,sustainable_financing_vs_temporary_cash_release,2025净营运资本顺风约74.18亿元；2026Q1库存较年末增加约29.11亿元且现金类资产下降。
capital_intensity,applicable,maintenance_vs_growth_investment_range,capex_capacity_utilization_and_competitive_requirements,2025总资本开支约33.47亿元；维持与增长资本开支未拆，机器人/新工厂会提高资金需求。
returns_on_capital,applicable,multiperiod_roe_roic_and_incremental_returns,leverage_buyback_cycle_and_accounting_decomposition,连续亏损使ROIC和增量ROIC尚不能稳定计算；不能用2025单年FCF顺风替代回报率。
balance_sheet_survival,applicable,debt_liquidity_covenants_guarantees_pledges_and_off_balance,adverse_scenario_financing_need,2026Q1现金类资产约420.87亿元；扣借款和融资租赁后净金融现金约207.99亿元。
capital_allocation,applicable,reinvestment_ma_dividend_buyback_issuance_debt_and_cash_ledger,diluted_per_share_outcomes_and_opportunity_cost,研发、车型、工厂、充电和新业务并行；要用充分摊薄后每股现金回报检验，而非只看规模。
management,applicable,dated_commitments_vs_outcomes,incentives_compensation_succession_insider_actions_and_candor,何小鹏强调四款新车、Robotaxi与人形机器人；均是管理层目标，需与交付、毛利和现金结果对表。
governance_and_related_parties,applicable,related_sales_purchases_loans_guarantees_and_asset_transfers,pricing_minority_fairness_oversight_and_dissent,创始人超级投票权、拟授28.51m RSU；汇天飞行汽车为关联方，不把主题收入自动归入小鹏核心。
accounting_and_audit,applicable,audit_kam_standard_policy_and_restatement,statement_reproduction_and_conflict_preservation,FY2025已审计，2026Q1未经审计，2026Q2截至截止日只有交付实际与收入指引。
tax_and_legal,applicable,effective_deferred_and_uncertain_tax,litigation_penalties_compliance_and_tail_exposure,自动驾驶安全、数据、出口监管与产品责任是尾部风险；精确诉讼/罚款暴露仍需逐案更新。
per_share_economics,applicable,basic_diluted_and_fully_diluted_share_reconciliation,per_share_growth_distribution_issuance_and_repurchase_outcomes,已发行19.161亿股；已知RSU和DiDi最高或有股份使情景股数增加约4.79%。
valuation,applicable,currency_consistent_value_range_assumptions_and_dates,reverse_expectations_sensitivities_and_cross_check,基础市值约949.5亿港元；TTM亏损，EV/TTM销售约0.83倍仅作预期温度计，不是内在价值。
disconfirming_evidence,applicable,independent_strongest_counter_thesis,observable_invalidation_next_evidence_and_review_date,最强反证是H1交付落后行业、Q1亏损扩大、现金下降库存上升及模型商品化削弱软件溢价。
