id,claim_id,source_id,document_sha256,page,section_or_table,page_line_start,page_line_end,text_snapshot_sha256,page_text_sha256,period,unit,currency,scope,audit_status,source_text,formula,limitations
SMIC-CRIT-001,same_issuer_a_h,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,112,Note 1 · General Information,5,7,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,ce9c488b0ce1a670a774de290915bbf187327487bf10a6c8838a02d0be231b6a,as of FY2025 annual report,legal_identity,not_applicable,issuer_and_ordinary_share_listings,audited,"The Company’s ordinary shares are listed on the mainboard of Stock Exchange of Hong Kong Limited and the SSE STAR Market, respectively.",,"Establishes the same issuer and two ordinary-share listings; it does not by itself establish identical trading rights, investor access or fungibility."
SMIC-CRIT-002,fy2025_revenue,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Profit or Loss Data,6,10,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,USD_million,USD,consolidated_group,audited,"Revenue 9,326,799 8,029,921 6,321,560 7,273,284 5,443,112",,"Five-year headline revenue does not disaggregate node, customer product or acquisition/scope effects."
SMIC-CRIT-003,fy2025_parent_profit,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Profit attributable to,27,30,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,USD_million,USD,owners_of_the_company,audited,"Owners of the Company 685,131 492,748 902,526 1,817,942 1,701,803",,Reported parent profit is not normalized earnings and predates the completed SMNC minority acquisition.
SMIC-CRIT-004,fy2025_operating_cash_flow,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Cash Flow Data,55,61,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,USD_million,USD,consolidated_group,audited,"Net cash generated from operating activities 3,194,303 3,175,555 3,358,294 5,347,916 3,011,895",,Consolidated OCF includes cash flows attributable to non-controlling interests and is not distributable parent cash.
SMIC-CRIT-005,fy2025_cash_ppe,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Cash Flow Data,62,65,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,USD_million,USD,consolidated_group_cash_flow,audited,"Acquisition of property, plant and equipment (8,399,826) (7,664,215) (7,630,407) (6,172,106) (4,120,275)",,Cash PP&E acquisition is a broad investment proxy; maintenance and growth spending are not separated.
SMIC-CRIT-006,fy2025_gross_margin,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Selected Ratios,37,39,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,percent,not_applicable,consolidated_group,audited,Gross margin 21.0% 18.0% 19.3% 38.0% 30.8%,,"Group gross margin does not reveal node, fab or customer-product economics."
SMIC-CRIT-007,fy2025_utilization,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,11,Chairman's Statement · 2025 operating performance,9,16,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,64ff9d90cacf41d83edccf7f48a858fc47688e182929bc793d58b4165c7dafa6,FY2025,percent,not_applicable,consolidated_foundry_operations,audited,utilisation rate increased by 8 percentage points year-on-year to 93.5%,,"Aggregate utilization does not disclose node-specific capacity, yield or profitability."
SMIC-CRIT-008,fy2025_capacity,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,71,Management Discussion and Analysis · Production Capacity,14,16,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,7c8e82a0f0104b370c45b9ec2b957211ea3b3a824fbaf9033e0f2249f1762dde,FY2025 year-end,8_inch_equivalent_wafers_per_month,not_applicable,consolidated_foundry_operations,audited,"In 2025, the Group’s shipments were 9,697 thousand standard logic 8-inch equivalent wafers; the monthly capacity reached 1,058,750",,Eight-inch-equivalent capacity is an aggregate denominator and does not represent a single product or node.
SMIC-CRIT-009,fy2025_shipments,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,18,Five-year Business Performance Highlights · Operating Data,40,41,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,e83d106df8b961d1f1bcbcf0cb9d99e50b089a109a6d8ace1efd4c6bdf061230,FY2025,8_inch_equivalent_wafers,not_applicable,consolidated_foundry_operations,audited,"Wafers shipped (in piece) 9,696,824 8,020,798 5,866,683 7,098,458 6,747,190",,Equivalent-wafer shipments mix wafer sizes and processes; they are not a homogeneous product volume.
SMIC-CRIT-010,fy2025_customer_concentration,AR2025,4ce8f7a22e09f5322a3b03621e596b42f941d43f12a58e303183209c279e3111,30,Report of the Directors · Major Customers and Suppliers,81,85,61070288c60ab4797e2a0a6cd6832d3de5ca7375fbfc891c814e2327b3392eb9,3c2028209b704dac9f280a2c30d4a0701dffa9b0c971e61401b4a787c7cbb9ab,FY2025,percent,not_applicable,consolidated_group_revenue,audited,sales to the largest customer and the five largest customers accounted for 8.0% and 35.8% of the revenue for the year,,"Customer names, end products, retention and payer/end-user mapping are not disclosed here."
