id,claim_id,source_id,document_sha256,page,section_or_table,page_line_start,page_line_end,text_snapshot_sha256,page_text_sha256,period,unit,currency,scope,audit_status,source_text,formula,limitations
XP-001,fy2025_revenue_mix,F01,67830eaad667ed28361941559c87db8e82d3c8251dcf350680c3ddb82bbdfc4f,,1895–1928,1,1,7269c15c34e92f52bb0ecbf4b730c251d45d24e2e0625c2d40a5389096ab6569,7269c15c34e92f52bb0ecbf4b730c251d45d24e2e0625c2d40a5389096ab6569,FY2025,RMB million,CNY,consolidated_group,audited,"2025 vehicle revenue RMB68,378.920m; services and other RMB8,340.822m.","sum = RMB76,719.742m",Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-002,fy2025_margin_deliveries,F01,67830eaad667ed28361941559c87db8e82d3c8251dcf350680c3ddb82bbdfc4f,,2354–2359,1,1,7080d91abaf53f8ad5c7b63a586b23ba9ac79cb668ed09a0b95a8b3aefb41ddd,7080d91abaf53f8ad5c7b63a586b23ba9ac79cb668ed09a0b95a8b3aefb41ddd,FY2025,units / percent,not_applicable,consolidated_group,audited,"Deliveries 429,445; vehicle margin 12.8%; services gross margin 68.2%.",directly reported,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-003,fy2025_cfo_working_capital,F01,67830eaad667ed28361941559c87db8e82d3c8251dcf350680c3ddb82bbdfc4f,,2395–2421,1,1,cafc713ba7282f0cdc5afd18b63f759937ca8670f7f6aee119880d2e6eb20f4c,cafc713ba7282f0cdc5afd18b63f759937ca8670f7f6aee119880d2e6eb20f4c,FY2025,RMB million,CNY,consolidated_group,audited,"CFO RMB8,258.529m; AP +14,082.9m; accrued liabilities +3,443.3m; inventory -5,772.1m.",net WC contribution approximated from disclosed CFO bridge,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-004,fy2025_capex,F01,67830eaad667ed28361941559c87db8e82d3c8251dcf350680c3ddb82bbdfc4f,,2427–2435,1,1,cf1b1a6f871c17f974591acc4f8ec40f9267c4eb4c2667dd8b064eb668bd6a00,cf1b1a6f871c17f974591acc4f8ec40f9267c4eb4c2667dd8b064eb668bd6a00,FY2025,RMB million,CNY,consolidated_group,audited,"PPE purchases RMB3,155.865m; total PPE/intangible/land capex about RMB3,347.1m.",CFO - total capex = reported FCF upper bound,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-005,q1_2026_results,F03,2a118814890dc969b0858f129a22bb272f27d00af769d7ce7630ae671e682f8d,1,issuer release tables,1,1,4aa215168b46efb98e8ea1b65f851b3cfb6b3a6fa2829842d95597c1cf4c1c39,4aa215168b46efb98e8ea1b65f851b3cfb6b3a6fa2829842d95597c1cf4c1c39,2026Q1,RMB billion / percent,CNY,consolidated_group,unaudited,"Deliveries 62,682; revenue RMB13.034bn; gross margin 20.6%; net loss RMB1.784bn.",directly reported; unaudited,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-006,q1_2026_balance_sheet,F03,2a118814890dc969b0858f129a22bb272f27d00af769d7ce7630ae671e682f8d,9,balance-sheet table,1,1,4fd5dcfc46646c152a0b3dc3579637e3ee131de8067dc7940ffc4945492b1382,4fd5dcfc46646c152a0b3dc3579637e3ee131de8067dc7940ffc4945492b1382,2026-03-31,RMB billion,CNY,consolidated_group,unaudited,Cash position approximately RMB42.087bn; inventory RMB13.292bn.,"cash, restricted cash, deposits and investments combined",Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-007,q2_2026_deliveries,F04,cb189cb10e5fdfd896efb517cbfaff93c74229be1462d358dcca232c27691ab0,1,delivery release,1,1,d19570337bdc04af8f8a2c7dc556e554e3212dda210a5b0b00377a859c6052a4,d19570337bdc04af8f8a2c7dc556e554e3212dda210a5b0b00377a859c6052a4,2026Q2,vehicles,not_applicable,company_operating_kpi,unaudited,"Q2 deliveries 103,295; June 40,126.",actual delivery KPI; financials not yet released,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-008,shares_june_2026,F05,059e348df0ed5c5cc0d90cb2c751b049a323e6a7dd399feddec828f0b318dfb7,2,share-capital table,1,1,549ad1f8ca775175eb50529834f2030c21f5961602c6b0d9bba269be7419b306,549ad1f8ca775175eb50529834f2030c21f5961602c6b0d9bba269be7419b306,2026-06-30,shares,not_applicable,listed_security,not_applicable,"Class A 1,567,388,524; Class B 348,708,257; total 1,916,096,781.",A + B; no treasury shares,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-009,control_and_ads,F01,67830eaad667ed28361941559c87db8e82d3c8251dcf350680c3ddb82bbdfc4f,,2772–2925,1,1,9d83ef391fc52907574a336c3884acf4085516f9987c0419bca0a95876b2190e,9d83ef391fc52907574a336c3884acf4085516f9987c0419bca0a95876b2190e,2026-03-31,percent / shares,not_applicable,consolidated_group,audited,He Xiaopeng 18.8% economics and 69.3% votes; one ADS represents two Class A shares.,directly reported,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
XP-010,short_position,F07,b4a6ccc0aacb65283adb725a4a2d58a22f8df22bf4c3adca83dfc617b0243e2c,,CSV XPeng row,1,1,f25a7ac9e25f4efc6692a2609427db5256e6be7dec18311082776e04f5408225,f25a7ac9e25f4efc6692a2609427db5256e6be7dec18311082776e04f5408225,2026-07-31,shares / HKD,HKD,reportable_short_positions,not_applicable,"Reportable short position 151,441,465 shares and HK$7.663bn.",SFC aggregate; may include hedges/arbitrage,Locator hashes bind the exact one-line evidence excerpt shown in this package; no separate full-page text extraction is claimed. Review the source URL and document checksum for context.
