dimension,dimension_status,indicator,indicator_status,summary,source_refs,source_gaps
security_and_legal_subject,applicable,exact_security_issuer_share_class_and_rights,observed,03738.HK 普通股、港元报价；截至 2026-06-30 已发行不含库存股 25.929 亿股，现为沪深南向合资格证券。,F01/F05/M01,
security_and_legal_subject,applicable,dated_price_share_count_currency_and_listing_status,observed,03738.HK 普通股、港元报价；截至 2026-06-30 已发行不含库存股 25.929 亿股，现为沪深南向合资格证券。,F01/F05/M01,
control_and_beneficial_ownership,applicable,controller_voting_pledges_and_cross_holdings,observed,创始人兼主席/CEO 王扬斌披露权益约 16.35%；主席与 CEO 合一，需要把执行力优势与监督风险同时保留。,F01,
control_and_beneficial_ownership,applicable,value_transfers_nci_and_related_party_exposure,observed,创始人兼主席/CEO 王扬斌披露权益约 16.35%；主席与 CEO 合一，需要把执行力优势与监督风险同时保留。,F01,
business_model,applicable,payer_value_proposition_revenue_and_cash_mechanism,observed,向权利人和平台提供版权识别、保护、归因与变现；订阅与按资产变现相关的增值服务构成两条收入链。,F01/F06/F07,
business_model,applicable,capital_needs_and_business_failure_variables,observed,向权利人和平台提供版权识别、保护、归因与变现；订阅与按资产变现相关的增值服务构成两条收入链。,F01/F06/F07,
revenue_structure,applicable,segment_product_and_geography_reconciliation,observed,FY2025 订阅收入 12.235 亿港元、增值及其他 16.488 亿；后者占 57.4%，不能把全部收入当 ARR。,F01/F02,
revenue_structure,applicable,volume_price_mix_acquisition_and_scope_bridge,observed,FY2025 订阅收入 12.235 亿港元、增值及其他 16.488 亿；后者占 57.4%，不能把全部收入当 ARR。,F01/F02,
industry_chain_position,applicable,upstream_process_customer_payer_and_substitute_map,observed,位于权利人—平台—用户生成内容之间；生成式 AI 扩张增加可识别资产，也加强平台自建与规则控制。,F01/I01/I02/I03/I04,
industry_chain_position,applicable,profit_pool_and_inventory_credit_technology_risk,observed,位于权利人—平台—用户生成内容之间；生成式 AI 扩张增加可识别资产，也加强平台自建与规则控制。,F01/I01/I02/I03/I04,
