id,claim_id,source_id,document_sha256,page,section_or_table,page_line_start,page_line_end,text_snapshot_sha256,page_text_sha256,period,unit,currency,scope,audit_status,source_text,formula,limitations
MEITU-CRIT-001,fy2025.total_revenue,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,227,Note 5 · Revenue and Segment Information,18,22,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,1a921a5a84c17c8817ea4c8f014890c802bc7d5fa1d7de10699ad23db7e9f30a,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations,audited,"审计附注列示：2025 年持续经营总收入为人民币 3,858,738 千元。",directly_reported,2024 comparative was restated for discontinued operations; this amount excludes discontinued cosmetic supply-chain revenue.
MEITU-CRIT-002,fy2025.revenue_photo_video_design,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,227,Note 5 · Revenue and Segment Information,18,22,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,1a921a5a84c17c8817ea4c8f014890c802bc7d5fa1d7de10699ad23db7e9f30a,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations_revenue_category,audited,"2025 年图片、视频及设计产品收入为人民币 2,954,033 千元。",directly_reported,"This is a revenue category, not an IFRS operating segment with separately disclosed segment profit."
MEITU-CRIT-003,fy2025.revenue_advertising,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,227,Note 5 · Revenue and Segment Information,18,22,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,1a921a5a84c17c8817ea4c8f014890c802bc7d5fa1d7de10699ad23db7e9f30a,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations_revenue_category,audited,"2025 年广告收入为人民币 842,595 千元。",directly_reported,"Advertising includes different recognition models, including net-basis agency rebates; it is not a single homogeneous product."
MEITU-CRIT-004,fy2025.revenue_others,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,227,Note 5 · Revenue and Segment Information,18,22,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,1a921a5a84c17c8817ea4c8f014890c802bc7d5fa1d7de10699ad23db7e9f30a,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations_revenue_category,audited,"2025 年其他持续经营收入为人民币 62,110 千元。",directly_reported,The category contains legacy and recategorised activities and should not be treated as a stable standalone segment.
MEITU-CRIT-005,fy2025.revenue_category_reconciliation,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,227,Note 5 · Revenue and Segment Information,18,24,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,1a921a5a84c17c8817ea4c8f014890c802bc7d5fa1d7de10699ad23db7e9f30a,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations,audited,"三类持续经营收入合计与审计总收入人民币 3,858,738 千元一致。","2,954,033 + 842,595 + 62,110 = 3,858,738","The reconciliation proves revenue completeness for the disclosed categories, not category-level profitability."
MEITU-CRIT-006,fy2025.gross_profit,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,199,Consolidated Income Statement,8,11,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,a746331487cfa46c29b05ee6148aecc11f63d57c9b69af09f0e3714d6474de77,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations,audited,"2025 年持续经营毛利为人民币 2,838,813 千元。","3,858,738 - 1,019,925 = 2,838,813",No audited gross profit by revenue category is disclosed on this statement.
MEITU-CRIT-007,fy2025.profit_continuing_attributable_to_owners,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,200,Consolidated Income Statement · attributable profit bridge,8,11,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,ca3d0fa28636582187678332ea61ddf2a8847d4f78023f70c5eb65347bc981e5,FY2025,RMB thousand,RMB,consolidated_group_continuing_operations_parent_attributable,audited,"持续经营归属于公司拥有人利润为人民币 697,563 千元。",directly_reported,This excludes the loss attributable to owners from discontinued operations.
MEITU-CRIT-008,fy2025.profit_total_attributable_to_owners,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,200,Consolidated Income Statement · attributable profit bridge,8,11,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,ca3d0fa28636582187678332ea61ddf2a8847d4f78023f70c5eb65347bc981e5,FY2025,RMB thousand,RMB,consolidated_group_total_parent_attributable,audited,"包括终止经营后，2025 年归属于公司拥有人利润为人民币 582,900 千元。","697,563 - 114,663 = 582,900","The discontinued-operation loss attributable to owners was RMB114,663 thousand."
MEITU-CRIT-009,fy2025.adjusted_profit_attributable_to_owners,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,18,MD&A · FY2025 vs FY2024 · Non-IFRS measure,35,41,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,80ecb906519b1bd508ed5bde834edf7dc8432e99e286aa44789ded6f1fbd0d27,FY2025,RMB thousand,RMB,company_defined_non_ifrs_parent_attributable_including_discontinued_operations,unaudited,"公司定义的调整后归属于拥有人净利润为人民币 965,347 千元。",company_defined_non_ifrs_measure,"The measure is company-defined, includes discontinued operations for comparability, and is not a substitute for audited IFRS profit."
MEITU-CRIT-010,fy2025.net_cash_from_operating_activities,F01,03cbf35ab1961e85e0c45fc31e6b58751a3cb7f4ff8135f0275d06521a1edd0f,206,Consolidated Statement of Cash Flows · operating activities,7,12,ca6f34f570dd93d688fe02e2231c3770d7c1c782934bccc5199d238bc3c6733e,a6489804097ee50bd7939cd482a92357f8253eb7847fcba83b749c0716d3217c,FY2025,RMB thousand,RMB,consolidated_group_total_cash_flow,audited,"2025 年经营活动产生的现金净额为人民币 1,257,010 千元。","1,293,123 + 2,410 - 571 - 37,952 = 1,257,010",Consolidated CFO includes continuing and discontinued operations and is not owner earnings.
